"County","FIPS","Year","Grade","School Type","Measure Type","Variable","Value"
"Connecticut","09","2010-2014","Grades 5 to 8","Total","Number","Enrolled Students",187763
"Connecticut","09","2010-2014","Grades 5 to 8","Total","Number","Margins of Error",2260
"Connecticut","09","2010-2014","Grades 5 to 8","Total","Percent","Enrolled Students",27.8
"Connecticut","09","2010-2014","Grades 5 to 8","Total","Percent","Margins of Error",0
"Connecticut","09","2010-2014","Grades 5 to 8","Public","Number","Enrolled Students",169026
"Connecticut","09","2010-2014","Grades 5 to 8","Public","Number","Margins of Error",2188
"Connecticut","09","2010-2014","Grades 5 to 8","Public","Percent","Enrolled Students",90
"Connecticut","09","2010-2014","Grades 5 to 8","Public","Percent","Margins of Error",0
"Connecticut","09","2010-2014","Grades 5 to 8","Private","Number","Enrolled Students",18737
"Connecticut","09","2010-2014","Grades 5 to 8","Private","Number","Margins of Error",953
"Connecticut","09","2010-2014","Grades 5 to 8","Private","Percent","Enrolled Students",10
"Connecticut","09","2010-2014","Grades 5 to 8","Private","Percent","Margins of Error",0
"Connecticut","09","2010-2014","Grades 9 to 12","Total","Number","Enrolled Students",207007
"Connecticut","09","2010-2014","Grades 9 to 12","Total","Number","Margins of Error",1795
"Connecticut","09","2010-2014","Grades 9 to 12","Total","Percent","Enrolled Students",30.7
"Connecticut","09","2010-2014","Grades 9 to 12","Total","Percent","Margins of Error",0
"Connecticut","09","2010-2014","Grades 9 to 12","Public","Number","Enrolled Students",184838
"Connecticut","09","2010-2014","Grades 9 to 12","Public","Number","Margins of Error",1829
"Connecticut","09","2010-2014","Grades 9 to 12","Public","Percent","Enrolled Students",89.3
"Connecticut","09","2010-2014","Grades 9 to 12","Public","Percent","Margins of Error",0
"Connecticut","09","2010-2014","Grades 9 to 12","Private","Number","Enrolled Students",22169
